Date,Open,High,Low,Close,Volume
2024-03-09,3916.89,3964.14,3862.22,3883.77,107967.8191
2024-03-10,3883.77,4065.22,3726.55,4017.89,141431.9107
2024-03-11,4017.89,4092.45,3950.9,3988.25,164886.456
2024-03-12,3988.25,4082.35,3830.6,3962.91,248353.6165
2024-03-13,3962.91,4020.99,3821.47,3845.9,183588.1636
2024-03-14,3845.9,3932.85,3568.41,3689.37,303587.1311
2024-03-15,3689.37,3806.14,3607.96,3679.31,179507.8726
2024-03-16,3679.31,3679.69,3413.1,3627.78,254691.6566
2024-03-17,3627.78,3678.57,3486.68,3525.26,184683.4699
2024-03-18,3525.26,3563.63,3203.82,3303.22,348767.2372
2024-03-19,3303.22,3397.42,3058,3293,438463.8741
2024-03-20,3293,3586.54,3141.23,3497.31,410632.2613
2024-03-21,3497.31,3545.43,3281.45,3349.62,243043.5337
2024-03-22,3349.62,3423.14,3249.52,3405.5,169054.8787
2024-03-23,3405.5,3434.5,3299.37,3397.28,128027.4461
2024-03-24,3397.28,3587.52,3333.84,3581.6,138540.3941
2024-03-25,3581.6,3678.42,3546,3593.03,208765.727
2024-03-26,3593.03,3666.05,3497.39,3514.03,168249.654
2024-03-27,3514.03,3611.86,3460.92,3578.82,143637.6169
2024-03-28,3578.82,3584.17,3481.52,3488.21,118144.4132
2024-03-29,3488.21,3565.61,3472.92,3536.26,106479.8535
2024-03-30,3536.26,3637.86,3485.13,3617.41,114640.4408
2024-03-31,3617.41,3655.81,3437.3,3444.21,156780.1053
2024-04-01,3444.21,3514.57,3232.33,3239.76,243452.5346
2024-04-02,3239.76,3363.3,3202,3329.19,245731.8121
2024-04-03,3329.19,3395.59,3251.51,3364.41,148278.3436
2024-04-04,3364.41,3442.62,3210.22,3326.34,213539.408
2024-04-05,3326.34,3361,3306,3335.4,129911.0819
2024-04-06,3335.4,3420,3330.95,3389.98,127839.6497
2024-04-07,3389.98,3672.11,3368.51,3629.18,156252.2186
2024-04-08,3629.18,3729.8,3478.91,3529.79,211007.4851
2024-04-09,3529.79,3554.4,3412.72,3479.12,189189.5208
2024-04-10,3479.12,3617.77,3469.24,3508.38,171928.0151
2024-04-11,3508.38,3552.82,3439.54,3440.59,120856.2709
2024-04-12,3440.59,3454.15,3070.26,3272.51,242738.0736
2024-04-13,3272.51,3279.92,2804.51,3055.44,705486.6757
2024-04-14,3055.44,3277.66,2979.45,3162.92,333955.0155
2024-04-15,3162.92,3179.63,2989.89,3009.47,373873.578
2024-04-16,3009.47,3123.07,2926.04,2946.52,199049.3563
2024-04-17,2946.52,3094,2915.11,3068.92,192702.0092
2024-04-18,3068.92,3128.48,2865.74,3080.59,194467.6383
2024-04-19,3080.59,3114.11,3018.23,3109.7,119483.9197
2024-04-20,3109.7,3196.24,3088.08,3159.36,112571.1819
2024-04-21,3159.36,3235.5,3116.34,3183.52,113199.8617
2024-04-22,3183.52,3263,3152.37,3225.94,101405.1771
2024-04-23,3225.94,3293.36,3168.51,3175.76,108576.5293
2024-04-24,3175.76,3193.86,3072.73,3160.5,132070.3919
2024-04-25,3160.5,3191.88,3102.91,3117.81,103753.9376
2024-04-26,3117.81,3166.65,3069.04,3144.76,107117.5858
2024-04-27,3144.76,3337.91,3142.44,3320.79,95762.0487
2024-04-28,3320.79,3357.69,3116.14,3182.3,80907.8953
2024-04-29,3182.3,3250.91,2966.74,2993.96,96876.2479
2024-04-30,2993.96,3029.31,2817.35,2885.45,112584.8119
2024-05-01,2885.45,3015.39,2869.08,2990.47,107004.6291
2024-05-02,2990.47,3085.72,2958.87,3075.61,89478.9673
2024-05-03,3075.61,3168.19,3062.75,3126.72,71107.9364
2024-05-05,3160.09,3221.78,3056.64,3089.62,46905.3396
2024-05-06,3089.62,3130.09,3023,3071.38,66053.993
2024-05-07,3071.38,3079.67,2978.24,3007.32,62399.9196
2024-05-08,3007.32,3023.59,2937.09,3005.92,63379.5499
2024-05-09,3005.92,3059.04,2907.89,2918.52,59052.1905
2024-05-10,2918.52,2945.56,2878.45,2925.93,59499.7901
2024-05-11,2925.93,2944,2901.83,2938.01,28143.786
2024-05-12,2938.01,2995.87,2864.99,2961.27,57574.0473
2024-05-13,2961.27,2977.84,2870.64,2898.82,72555.8355
2024-05-14,2898.82,2992,2862.2,2977.43,51690.7528
2024-05-15,2977.43,3041.38,2931.22,2956.62,107147.9229
2024-05-16,2956.62,3117.65,2923.57,3111.34,117086.5921
2024-05-17,3111.34,3146.59,3067.87,3110.83,58142.4817
2024-05-18,3110.83,3136.35,3063.64,3077.38,22644.8683
2024-05-19,3077.38,3139.25,3048.56,3118.3,31570.6579
2024-05-20,3118.3,3834.94,3110.77,3777.77,268876.33
2024-05-21,3777.77,3840.74,3654.34,3761.85,121183.4498
2024-05-22,3761.85,3947.85,3701,3812.96,157982.3333
2024-05-23,3812.96,3903.14,3529.13,3694.01,107476.5605
2024-05-24,3694.01,3778.26,3655.56,3743.89,45810.3426
2024-05-25,3743.89,3875,3731.27,3832.94,35705.2881
2024-05-26,3832.94,3977.36,3818.74,3963.82,20033.8943
2024-05-27,3963.82,3974.68,3822.73,3861.42,67555.4358
2024-05-28,3861.42,3887.99,3751.13,3759.92,6936.513
2024-05-29,3759.92,3801.94,3703.02,3776.1,14941.9155
2024-05-30,3776.1,3847.96,3719.66,3744.8,49414.2432
2024-05-31,3744.8,3814,3723.98,3798.77,45317.4063
2024-06-01,3798.77,3838.07,3771.64,3798.98,22684.1365
2024-06-02,3798.98,3850,3753.14,3796.7,29904.3171
2024-06-03,3796.7,3817.27,3731.68,3810.61,43509.0568
2024-06-04,3810.61,3839,3776.35,3813.35,92882.399
2024-06-05,3813.35,3886.63,3796.3,3845,109136.1299
2024-06-06,3845,3854.74,3760.05,3800.84,98428.4076
2024-06-07,3800.84,3808,3575,3687.49,83008.7044
2024-06-08,3687.49,3712.49,3666.21,3690.12,23044.5867
2024-06-09,3690.12,3721.01,3644.47,3701.72,2047.4659
2024-06-10,3701.72,3705.08,3432.93,3446.64,4261.4217
2024-06-11,3446.64,3656.22,3432.48,3618.44,4239.7368
2024-06-12,3618.44,3624.64,3434.27,3443.26,33131.9336
2024-06-13,3443.26,3532.02,3428.58,3462.45,34708.7487
2024-06-14,3462.45,3593.42,3362.75,3566.17,42955.8023
2024-06-15,3566.17,3611.29,3536.7,3592.1,31896.5273
2024-06-16,3592.1,3653.83,3487.42,3497.9,40389.0018
2024-06-17,3497.9,3577.41,3352.47,3424.08,46229.9961
2024-06-18,3424.08,3584.61,3387.6,3529.42,43545.3257
2024-06-19,3529.42,3625.57,3491.41,3506.57,39867.7374
2024-06-20,3506.57,3541.67,3446.44,3492.86,41204.6847
2024-06-21,3492.86,3546.94,3470.8,3505.72,34529.6855
2024-06-22,3505.72,3521.28,3471.86,3474.8,32775.4794
2024-06-23,3474.8,3482.94,3240.83,3280.27,48392.7323
2024-06-24,3280.27,3425.37,3243,3419.97,46763.286
2024-06-25,3419.97,3429.55,3346.95,3361.86,37501.3552
2024-06-26,3361.86,3476.34,3325.83,3452.16,40230.7392
2024-06-27,3452.16,3487.5,3403.7,3413.47,40398.356
2024-06-28,3413.47,3416.98,3366.24,3394.3,37363.5936
2024-06-29,3394.3,3404.61,3353.85,3400.46,33697.9376
2024-06-30,3400.46,3524.04,3391.79,3474.64,39088.7033
2024-07-01,3474.64,3499,3401.56,3416.25,33179.5166
2024-07-02,3416.25,3433.64,3275.39,3304.23,36645.2785
2024-07-03,3304.23,3322.1,3090,3139.1,60363.4243
2024-07-04,3139.1,3169.55,2811,2991.04,80521.9126
2024-07-05,2991.04,3030,2955.15,3019.99,45171.0305
2024-07-06,3019.99,3080.64,2955.51,2970.73,42779.0382
2024-07-07,2970.73,3096.69,2823.08,2969.63,69877.4435
2024-07-08,2969.63,3113.87,2945.47,3068.31,57664.3202
2024-07-09,3068.31,3129.6,3024.47,3122.95,40543.6354
2024-07-10,3122.95,3216.68,3055.26,3117.88,46691.7378
2024-07-11,3117.88,3149.5,3047,3131.82,43054.1738
2024-07-12,3131.82,3170.81,3090.36,3155.78,36772.8903
2024-07-13,3155.78,3224.73,3144.44,3190.04,38758.4582
2024-07-14,3190.04,3394.9,3183.25,3367.68,39685.1946
2024-07-15,3367.68,3497.3,3347.84,3476.54,47283.3278
2024-07-16,3476.54,3515.61,3414,3437.76,39016.2544
2024-07-17,3437.76,3489.31,3377.61,3389.95,34383.0929
2024-07-18,3389.95,3473.84,3368.71,3464.33,35162.2637
2024-07-19,3464.33,3540,3463.74,3502.67,39152.0722
2024-07-20,3502.67,3539,3477.11,3500.19,34723.9024
2024-07-21,3500.19,3562.57,3412.07,3456.71,40629.8252
2024-07-22,3456.71,3540.24,3422.98,3454.98,39382.9524
2024-07-23,3454.98,3499,3390.44,3415.65,36316.923
2024-07-24,3415.65,3432,3107.44,3142.81,56235.6351
2024-07-25,3142.81,3275.05,3088.16,3255.02,44206.9724
2024-07-26,3255.02,3327.86,3243.07,3280.95,40482.9328
2024-07-27,3280.95,3293.79,3191.3,3269.25,45542.2679
2024-07-28,3269.25,3396.48,3251.17,3308.49,45216.5569
2024-07-29,3308.49,3364.83,3258.65,3320.98,38696.3396
2024-07-30,3320.98,3349.39,3233.6,3302.68,39458.4389
2024-07-31,3302.68,3327,3103.38,3117.34,52946.6345
2024-08-01,3117.34,3218.63,2987.11,3040.24,58789.3023
2024-08-02,3040.24,3048.88,2914.44,2942.95,48892.3228
2024-08-03,2942.95,2956.46,2820.83,2827.55,53867.4164
2024-08-04,2827.55,2838.13,2111.97,2451.37,318948.4674
2024-08-05,2451.37,2554.47,2364.15,2528.2,137143.5788
2024-08-06,2528.2,2550,2364.82,2413.3,103418.6723
2024-08-07,2413.3,2525,2309.09,2506.82,98675.3454
2024-08-08,2506.82,2724.34,2503.61,2558.4,87557.4885
2024-08-09,2558.4,2644.44,2553.49,2599.1,51860.7303
2024-08-10,2599.1,2718.1,2589.68,2613.49,47884.1757
2024-08-11,2613.49,2721.35,2510,2688.84,86041.5662
2024-08-12,2688.84,2749.36,2611.54,2652.19,63825.2008
2024-08-13,2652.19,2779.2,2633.42,2674.01,66468.1698
2024-08-14,2674.01,2680,2589.66,2668.6,53338.3822
2024-08-15,2668.6,2674.81,2516.47,2569.56,54505.0817
2024-08-16,2569.56,2629.89,2564.22,2606.74,50989.9809
2024-08-17,2606.74,2687.38,2594.84,2672.01,42804.3942
2024-08-18,2672.01,2677.78,2564.67,2584.57,47261.5553
2024-08-19,2584.57,2694.68,2555.34,2574.87,49318.9309
2024-08-20,2574.87,2616.73,2536.73,2601.97,52237.4309
2024-08-21,2601.97,2662.62,2584.86,2599.74,48193.6111
2024-08-22,2599.74,2698.87,2598.01,2670.32,49222.8951
2024-08-23,2670.32,2798.46,2662.69,2761.14,48447.338
2024-08-24,2761.14,2819.93,2732.32,2762.8,44014.7077
2024-08-25,2762.8,2790.94,2703,2721.41,45697.2969
2024-08-26,2721.41,2731.71,2559.07,2579.16,46011.1188
2024-08-27,2579.16,2592,2394.33,2496.39,78644.3475
2024-08-28,2496.39,2594.98,2457.04,2575.36,62353.1843
2024-08-29,2575.36,2585.26,2435.63,2448.7,61083.5847
2024-08-30,2448.7,2540.11,2433,2518.74,45879.7941
2024-08-31,2518.74,2528.11,2438.68,2480.72,54717.345
2024-09-01,2480.72,2537.08,2401,2513.24,56262.4977
2024-09-02,2513.24,2563.69,2437.17,2444.72,47707.8437
2024-09-03,2444.72,2469.55,2310,2454.58,66587.3593
2024-09-04,2454.58,2489.03,2355.96,2371.2,55968.1409
2024-09-05,2371.2,2408.35,2270,2290.63,71546.3118
2024-09-06,2290.63,2310.99,2151.91,2300.13,76121.2898
2024-09-07,2300.13,2308.92,2240.82,2245.18,51282.6024
2024-09-08,2245.18,2338.46,2242.97,2292.47,58108.6095
2024-09-09,2292.47,2378.31,2291.36,2324.75,63007.8371
2024-09-10,2324.75,2400,2278.56,2325.97,61403.0804
2024-09-11,2325.97,2390,2315.51,2322.73,54184.4778
2024-09-12,2322.73,2410.82,2321.77,2406.56,53335.3609
2024-09-13,2406.56,2464.42,2395.61,2418.59,52571.621
2024-09-14,2418.59,2430,2380,2408.77,50407.7813
2024-09-15,2408.77,2408.92,2254.19,2288.25,59229.2728
2024-09-16,2288.25,2392.8,2263.56,2383.11,59568.8912
2024-09-17,2383.11,2389.22,2277.33,2296.39,52563.5167
2024-09-18,2296.39,2452.39,2288.6,2439.79,56780.7689
2024-09-19,2439.79,2571.29,2433.33,2559.33,53512.0984
2024-09-20,2559.33,2584.98,2525.05,2558.79,47045.8734
2024-09-21,2558.79,2631.33,2555.19,2570.25,45078.2101
2024-09-22,2570.25,2687,2525.19,2674.61,58026.3015
2024-09-23,2674.61,2701.67,2592.14,2612.07,48035.5572
2024-09-24,2612.07,2673.29,2596.92,2601.53,48193.9568
2024-09-25,2601.53,2663.28,2555.15,2652.16,51500.8608
2024-09-26,2652.16,2699.22,2616,2683.59,48097.6875
2024-09-27,2683.59,2726.15,2650,2669.27,47451.1901
2024-09-28,2669.27,2683.78,2634.29,2665.77,45100.5712
2024-09-29,2665.77,2672.34,2592.75,2595.76,53598.1425
2024-09-30,2595.76,2658.41,2485.19,2524.47,50450.3183
2024-10-01,2524.47,2531.55,2414.6,2460.82,63379.4612
2024-10-02,2460.82,2479.1,2311,2341.13,68703.0829
2024-10-03,2341.13,2417.84,2312.5,2417.03,53859.4874
2024-10-04,2417.03,2441.18,2391.41,2415.73,45414.6129
2024-10-05,2415.73,2456.84,2390.83,2446.06,44307.8797
2024-10-06,2446.06,2520.12,2415.41,2474.32,50939.7302
2024-10-07,2474.32,2480.77,2401.74,2419.85,50079.6906
2024-10-08,2419.85,2472.86,2411.68,2459.83,54175.0616
2024-10-09,2459.83,2460.34,2351.6,2403.42,56561.0799
2024-10-10,2403.42,2452.33,2331.66,2442.85,52469.8325
2024-10-11,2442.85,2482.14,2432.14,2471.86,49728.5767
2024-10-12,2471.86,2488.46,2436.23,2439.78,45838.3027
2024-10-13,2439.78,2642.55,2437.19,2634.48,52777.7922
2024-10-14,2634.48,2687,2538.16,2573.73,61501.8828
2024-10-15,2573.73,2646.46,2564.49,2607.21,52172.9072
2024-10-16,2607.21,2646.74,2584.03,2630.04,44904.429
2024-10-17,2630.04,2662.07,2576.13,2651.87,47214.3246
2024-10-18,2651.87,2674.49,2629.06,2643.24,50721.0055
2024-10-19,2643.24,2718.8,2634.85,2705.21,54179.7093
2024-10-20,2705.21,2768.53,2661,2679.37,54408.4994
2024-10-21,2679.37,2684.49,2606.18,2624.19,46642.6534
2024-10-22,2624.19,2642.99,2530,2539.99,45729.7326
2024-10-23,2539.99,2560.59,2455,2524.99,54794.6437
